timestamp,velocity_m_s,pressure_bar,power_W,position_deg
1748353365.1712756,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
1748353365.1812484,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
1748353365.1912212,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
1748353365.201199,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.211168,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.2211418,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.231114,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.2410898,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.251101,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.2610345,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.270715,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.280714,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.290687,-59.05432632401495,1.1396000000000002,67.29831027884745,201.0
1748353365.300622,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.3106463,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.320569,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.3305504,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.3405154,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.3504887,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.3604612,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.3704903,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.3804588,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.390421,-68.34644232246531,1.1871999999999998,81.1408963252308,194.0
1748353365.4013526,-60.767345834923,1.2229,74.31238722152735,188.0
1748353365.4113266,-60.767345834923,1.2229,74.31238722152735,188.0
1748353365.421298,-60.767345834923,1.2229,74.31238722152735,188.0
1748353365.4308636,-60.767345834923,1.2229,74.31238722152735,188.0
